Area,Year,InMonth,InDay,OutMonth,OutDay,preliminary
東北北部,1962,6,3,7,25,0
東北北部,1963,6,19,7,27,0
東北北部,1964,6,8,7,25,0
東北北部,1965,6,18,8,6,0
東北北部,1966,6,16,8,7,0
東北北部,1967,7,3,7,18,0
東北北部,1968,6,20,7,23,0
東北北部,1969,6,22,7,14,0
東北北部,1970,6,18,7,20,0
東北北部,1971,6,11,7,30,0
東北北部,1972,6,20,8,6,0
東北北部,1973,6,7,7,13,0
東北北部,1974,6,6,8,3,0
東北北部,1975,6,12,7,19,0
東北北部,1976,6,8,7,23,0
東北北部,1977,6,11,7,22,0
東北北部,1978,6,11,7,8,0
東北北部,1979,6,8,8,8,0
東北北部,1980,6,9,8,3,0
東北北部,1981,6,11,7,17,0
東北北部,1982,6,24,8,7,0
東北北部,1983,6,13,7,29,0
東北北部,1984,6,10,7,22,0
東北北部,1985,6,8,7,19,0
東北北部,1986,6,17,7,28,0
東北北部,1987,6,27,8,9,0
東北北部,1988,6,9,7,31,0
東北北部,1989,6,15,7,21,0
東北北部,1990,6,15,7,27,0
東北北部,1991,6,10,8,14,0
東北北部,1992,6,8,7,29,0
東北北部,1993,6,3,,,0
東北北部,1994,6,19,7,13,0
東北北部,1995,6,14,7,23,0
東北北部,1996,6,11,8,6,0
東北北部,1997,6,2,7,17,0
東北北部,1998,6,3,,,0
東北北部,1999,6,16,7,26,0
東北北部,2000,6,23,7,27,0
東北北部,2001,6,6,,,0
東北北部,2002,6,11,7,25,0
東北北部,2003,6,12,,,0
東北北部,2004,6,19,7,22,0
東北北部,2005,6,25,8,4,0
東北北部,2006,6,15,8,2,0
東北北部,2007,6,29,8,11,0
東北北部,2008,6,23,8,5,0
東北北部,2009,6,4,,,0
東北北部,2010,6,16,7,18,0
東北北部,2011,6,21,7,9,0
東北北部,2012,6,9,7,26,0
東北北部,2013,6,15,8,10,0
東北北部,2014,6,6,7,25,0
東北北部,2015,6,26,7,29,0
東北北部,2016,6,13,7,29,0
東北北部,2017,7,1,,,0
東北北部,2018,6,11,7,19,0
東北北部,2019,6,15,7,31,0
東北北部,2020,6,25,,,0
東北北部,2021,6,19,7,16,0
東北北部,2022,6,15,,,1
