Area,Year,InMonth,InDay,OutMonth,OutDay,preliminary
九州南部,1964,6,10,7,1,0
九州南部,1965,6,9,7,7,0
九州南部,1966,5,31,7,14,0
九州南部,1967,6,18,7,14,0
九州南部,1968,6,12,7,16,0
九州南部,1969,6,17,7,15,0
九州南部,1970,6,10,7,15,0
九州南部,1971,5,22,7,25,0
九州南部,1972,6,2,7,15,0
九州南部,1973,5,26,7,5,0
九州南部,1974,5,14,7,18,0
九州南部,1975,6,4,7,17,0
九州南部,1976,5,19,7,16,0
九州南部,1977,5,26,7,4,0
九州南部,1978,6,3,7,3,0
九州南部,1979,6,6,7,22,0
九州南部,1980,5,30,7,18,0
九州南部,1981,5,27,7,11,0
九州南部,1982,5,29,7,27,0
九州南部,1983,6,3,7,21,0
九州南部,1984,5,31,7,3,0
九州南部,1985,5,29,7,6,0
九州南部,1986,6,5,7,19,0
九州南部,1987,6,2,7,25,0
九州南部,1988,6,1,7,5,0
九州南部,1989,6,5,7,14,0
九州南部,1990,5,30,7,7,0
九州南部,1991,5,19,7,9,0
九州南部,1992,6,5,7,20,0
九州南部,1993,5,17,,,0
九州南部,1994,5,25,7,1,0
九州南部,1995,5,25,7,7,0
九州南部,1996,5,27,7,13,0
九州南部,1997,6,2,7,20,0
九州南部,1998,5,28,7,1,0
九州南部,1999,6,2,7,23,0
九州南部,2000,5,26,7,15,0
九州南部,2001,5,21,7,20,0
九州南部,2002,6,10,7,21,0
九州南部,2003,6,9,7,22,0
九州南部,2004,5,29,7,11,0
九州南部,2005,6,11,7,15,0
九州南部,2006,5,26,7,25,0
九州南部,2007,6,1,7,18,0
九州南部,2008,5,28,7,6,0
九州南部,2009,6,2,7,12,0
九州南部,2010,6,12,7,20,0
九州南部,2011,5,23,7,8,0
九州南部,2012,5,30,7,23,0
九州南部,2013,5,27,7,8,0
九州南部,2014,6,2,7,16,0
九州南部,2015,6,2,7,14,0
九州南部,2016,5,24,7,18,0
九州南部,2017,6,6,7,13,0
九州南部,2018,6,5,7,9,0
九州南部,2019,5,31,7,24,0
九州南部,2020,5,30,7,28,0
九州南部,2021,5,11,7,11,0
九州南部,2022,6,11,6,27,1
九州北部,1951,6,14,7,19,0
九州北部,1952,6,8,7,15,0
九州北部,1953,5,28,7,20,0
九州北部,1954,5,13,8,1,0
九州北部,1955,6,3,7,10,0
九州北部,1956,5,21,7,22,0
九州北部,1957,6,5,7,29,0
九州北部,1958,6,6,7,11,0
九州北部,1959,6,4,7,21,0
九州北部,1960,5,24,7,11,0
九州北部,1961,6,8,7,10,0
九州北部,1962,6,8,7,22,0
九州北部,1963,5,30,7,13,0
九州北部,1964,6,10,7,20,0
九州北部,1965,6,11,7,24,0
九州北部,1966,6,14,7,14,0
九州北部,1967,6,22,7,16,0
九州北部,1968,6,12,7,17,0
九州北部,1969,6,17,7,15,0
